V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,gid,Q1_1,Q1_2,Q2_1,Q2_2_1,Q2_2_2,Q2_2_3,Q2_2_4,Q2_2_5,Q2_2_6,Q2_2_7,Q2_2_8,Q2_2_9,Q2_2_10,Q2_3,Q2_4_orange,Q2_4_banana,Q2_4_strawberry,Q2_4_apples,Q2_4_blueberries,Q2_4_feijoas,Q2_4_rambutan,Q2_4_loquat,Q2_4_peaches,Q2_5,Q2_5_TEXT,NES_11,NES_5,NES_14,CD_4R,CON_3,NES_10,CD_7R,CD_12R,NES_1,CD_5,NES_8,CON_2,CD_1R,CD_11,CD_9,CD_3,NES_7,TECH_2,CD_13R,CON_5,NES_13,NES_3,CON_1,CD_2R,TECH_5_N_,CD_8,NES_12,NES_6,CD_6,CON_4,CD_10,Q3_5_Validation,NES_15,NES_9,NES_2,TECH_3_N_,NES_4,TECH_1,TECH_4,Q3_7,Q3_7_TEXT,Q3_8,Q3_8_TEXT,Q4_1,Q4_2,Q5_1,Q5_2,Q6_1,Q6_2,Q7_1_iron,Q7_1_vitC,Q7_1_potassium,Q7_1_calcium,Q7_1_vitD,Q7_2,Q7_3,Q8_1,Q8_2,Q10_1,Q9_2_1,Q9_2_2,Q9_2_3,Q9_2_4,Q9_2_5,Q9_2_6,Q10_3_1,Q10_3_2,Q10_3_3,Q10_3_4,Q10_3_5,Q10_3_6,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_7,Q11_8,Q11_8_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,CD_4,CD_7,CD_12,CD_1,CD_13,CD_2,total_CD,TECH_3,TECH_5,total_tech,total_NES,total_con,RID,Choose,alt,set,PRICE,Producer,Seeds,choice,NONE
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,2,2,4,1.59,3,1,1,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,2,3,4,0,0,0,0,1
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,1,1,5,1.79,4,2,1,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,1,2,5,1.99,2,1,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,1,3,5,0,0,0,0,1
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,1,6,2.19,2,1,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,2,6,1.99,3,2,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,3,6,0,0,0,1,1
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,1,1,7,1.79,1,2,1,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,1,2,7,2.39,4,1,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,1,3,7,0,0,0,0,1
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,1,8,1.79,2,1,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,2,8,2.19,3,2,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,3,8,0,0,0,1,1
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,1,9,1.59,4,1,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,2,9,2.39,2,2,0,0
R_aXGK7Q2YeI3mCyx,Default Response Set,Anonymous,,,83.53.65.244,0,04MAY16:11:38:00,04MAY16:12:04:00,1,600017,0,0,1,,0,,,,,,,,1,4,1,1,1,1,4,5,5,5,3,5,,5,7,5,1,7,7,7,7,7,7,6,5,1,7,7,7,7,5,2,7,6,7,7,2,4,7,3,5,7,7,7,2,7,5,6,4,6,5,5,1,,0,,0,0,0,0,0,0,1,1,1,1,1,5,1,0,0,5,0,0,0,0,0,0,6,3,4,4,4,3,2,1,5,6,1,13,2,,40.41650391,-3.702606201,-1,7,1,1,7,6,6,77,4,4,23,89,33,2,3,3,9,0,0,0,1,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,1,1,2.19,1,2,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,2,1,1.59,2,1,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,3,1,0,0,0,1,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,1,2,1.59,1,2,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,2,2,1.79,3,1,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,3,2,0,0,0,1,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,1,3,2.39,1,1,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,2,3,2.19,2,2,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,3,3,0,0,0,1,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,1,1,4,1.99,4,2,1,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,1,2,4,1.59,3,1,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,1,3,4,0,0,0,0,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,1,1,5,1.79,4,2,1,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,1,2,5,1.99,2,1,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,1,3,5,0,0,0,0,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,1,6,2.19,2,1,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,2,6,1.99,3,2,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,3,6,0,0,0,1,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,2,1,7,1.79,1,2,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,2,2,7,2.39,4,1,1,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,2,3,7,0,0,0,0,1
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,1,8,1.79,2,1,0,0
R_cIwZMcmSi3g06Ox,Default Response Set,Anonymous,,,87.221.116.166,0,04MAY16:12:04:00,04MAY16:12:15:00,1,600024,1,1,1,,0,,,,,,,,1,5,1,1,1,1,3,5,5,5,1,5,,4,6,5,2,7,6,2,2,4,5,5,6,3,5,5,6,7,5,2,7,6,6,7,2,3,6,3,2,6,7,6,2,6,5,6,4,4,6,5,6,,2,,0,0,0,0,0,0,2,1,2,1,3,6,1,0,0,5,0,0,0,0,0,0,2,2,4,4,5,5,2,1,5,4,3,25,3,,41.64529419,-0.884902954,-1,6,6,6,5,6,6,74,4,5,25,75,34,3,3,2,8,2.19,3,2,0,0
